"totalcurrval","livingarea","dep","size","zone","actype","bedrms","bathhalf","type"
NA,1918,28,0.08,"RM2","No AC",4,"2:0","Colonial"
NA,1290,22,0.14,"RM1","No AC",3,"1:1","Other"
82820,1240,18,0.14,"RS2","AC",3,"1:1","Other"
66430,2196,22,0.11,"RM2","No AC",4,"2:0","Other"
NA,3535,28,0.2,"RS2","No AC",6,"2:1","Other"
NA,2426,28,0.21,"Other","No AC",3,"2:0","Other"
64590,2236,27,0.14,"RS1","No AC",6,"2:0","Colonial"
NA,1394,27,0.22,"RS3","No AC",3,"2:0","Colonial"
73260,1161,23,0.17,"RS3","No AC",3,"1:0","Other"
92160,3654,22,0.11,"RS3","No AC",6,"3:0","Colonial"
188730,4604,22,0.19,"RS2","No AC",6,"3:0","Other"
152400,3264,26,0.31,"RS2","AC",3,"3:0","Other"
164830,1980,22,0.15,"RS1","No AC",4,"1:1","Other"
NA,2644,22,0.2,"RS3","AC",3,"2:0","Other"
NA,1940,33,0.2,"RM2","No AC",4,"1:1","Colonial"
90700,1226,28,0.04,"RS1","No AC",3,"2:0","Colonial"
80860,1306,28,0.16,"RS2","No AC",3,"1:0","Other"
NA,2863,28,0.39,"RS1","No AC",4,"4:0","Colonial"
NA,4000,28,0.16,"RM2","No AC",8,"4:0","Other"
NA,4435,28,0.19,"RM1","No AC",7,"3:1","Other"
79210,3312,28,0.12,"RS3","No AC",4,"3:1","Ranch"
NA,1372,21,0.21,"RS1","No AC",3,"1:1","Colonial"
103850,1212,23,0.28,"RM1","AC",3,"1:1","Colonial"
69060,1816,28,0.17,"RS3","No AC",4,"2:0","Colonial"
132870,3973,17,0.22,"RS2","No AC",6,"2:0","Other"
123830,1758,28,0.25,"RM2","No AC",3,"2:0","Colonial"
81250,2754,38,0.28,"RS1","No AC",5,"3:0","Modern"
62720,2410,28,0.17,"RM3","No AC",3,"3:0","Other"
85260,1608,28,0.16,"RM2","No AC",4,"2:0","Other"
212220,2522,14,0.12,"RS1","No AC",4,"3:1","Colonial"
58990,1488,22,0.09,"RS1","No AC",3,"1:0","Ranch"
94570,1932,28,0.09,"RM2","No AC",5,"2:0","Colonial"
NA,1662,17,0.14,"RS2","No AC",3,"1:0","Colonial"
NA,2171,28,0.12,"RS3","No AC",4,"2:0","Colonial"
NA,3244,28,0.23,"RS3","No AC",4,"2:1","Other"
75670,2970,22,0.17,"RM2","No AC",5,"3:0","Colonial"
75430,2396,28,0.18,"RS3","No AC",5,"2:0","Other"
NA,1802,22,0.14,"RS1","No AC",3,"1:1","Other"
NA,2623,28,0.26,"RS1","No AC",5,"3:0","Ranch"
NA,2070,28,0.1,"RS1","No AC",3,"2:1","Other"
58660,1333,28,0.16,"RM2","No AC",3,"1:0","Colonial"
225520,4129,22,0.15,"RS1","No AC",6,"3:1","Other"
NA,2820,28,0.13,"RM2","No AC",6,"3:0","Colonial"
138930,2303,24,0.31,"RS1","No AC",4,"1:1","Ranch"
96950,3359,22,0.13,"RM2","No AC",5,"3:0","Other"
NA,2742,28,0.19,"RS1","No AC",8,"3:0","Other"
NA,2532,22,0.84,"Other","No AC",2,"2:1","Colonial"
NA,3069,28,0.15,"RM3","No AC",2,"2:0","Other"
NA,1768,38,0.08,"Other","No AC",4,"2:0","Other"
NA,1616,22,0.16,"RS1","No AC",3,"1:1","Colonial"
NA,1164,17,0.15,"RS2","No AC",2,"1:1","Ranch"
NA,1160,14,0.06,"RS2","No AC",3,"1:1","Other"
NA,3472,50,0.23,"RM3","No AC",8,"4:0","Other"
99060,1500,21,0.19,"RS2","No AC",3,"1:1","Colonial"
NA,1735,28,0.35,"RM3","No AC",3,"1:0","Ranch"
NA,4505,28,0.15,"RS2","No AC",6,"3:0","Other"
NA,1749,28,0.06,"RM3","No AC",4,"2:0","Other"
46200,1190,28,0.05,"RM2","No AC",3,"1:1","Other"
288790,2580,24,0.17,"RM1","No AC",2,"3:1","Modern"
NA,2722,24,0.27,"RS3","No AC",4,"2:1","Modern"
240850,4050,28,0.81,"RS1","No AC",4,"2:0","Colonial"
60930,1480,22,0.21,"Other","No AC",4,"2:1","Colonial"
92540,1216,1,0.13,"RM2","No AC",3,"2:0","Colonial"
NA,672,24,0.13,"RS1","AC",2,"1:0","Other"
97210,1898,18,0.17,"RS1","No AC",2,"2:0","Colonial"
NA,1020,24,0.13,"RS3","No AC",3,"1:0","Ranch"
NA,2447,28,0.1,"RS1","No AC",4,"2:0","Ranch"
NA,1765,28,0.23,"RS1","No AC",4,"2:1","Colonial"
128140,2153,22,0.42,"RS3","No AC",4,"2:1","Colonial"
NA,1280,24,0.17,"RS3","AC",3,"2:0","Other"
45470,1525,28,0.11,"RM1","No AC",3,"2:0","Ranch"
65420,2248,28,0.11,"RS3","No AC",4,"2:0","Colonial"
150610,1578,6,0.08,"RS3","No AC",2,"1:1","Colonial"
64220,1728,28,0.18,"Other","No AC",3,"2:0","Colonial"
79520,1629,28,0.13,"RM2","No AC",3,"2:0","Other"
NA,1492,28,0.06,"RS2","No AC",3,"2:0","Colonial"
NA,3140,33,0.25,"RS1","No AC",6,"1:1","Other"
44630,1019,28,0.09,"RM1","No AC",3,"1:0","Ranch"
107250,3649,22,0.13,"RS2","No AC",6,"3:0","Other"
NA,1912,20,0.24,"RM1","No AC",4,"1:1","Colonial"
51970,640,28,0.08,"Other","No AC",2,"2:0","Other"
NA,2450,28,0.23,"RS3","No AC",4,"2:1","Colonial"
48200,1000,27,0.21,"RS3","No AC",3,"2:0","Other"
128390,3421,28,0.14,"RS2","No AC",6,"3:0","Colonial"
77420,1152,21,0.25,"RM2","No AC",3,"1:0","Ranch"
97480,1693,22,0.16,"RS3","No AC",3,"2:1","Other"
NA,3383,38,0.17,"RS2","No AC",6,"3:0","Ranch"
NA,2192,28,0.27,"RS2","No AC",4,"2:0","Colonial"
NA,1892,28,0.12,"RM1","No AC",4,"2:0","Modern"
NA,2720,19,0.14,"RS2","No AC",8,"3:0","Modern"
NA,3353,38,0.11,"RM2","No AC",6,"3:0","Colonial"
75510,2688,28,0.08,"RS1","No AC",6,"2:0","Other"
61750,1440,28,0.1,"RS2","No AC",4,"2:0","Colonial"
NA,720,23,0.14,"RM2","No AC",2,"1:0","Other"
NA,1751,11,0.13,"RM2","No AC",3,"2:0","Colonial"
40980,908,28,0.08,"Other","No AC",2,"1:0","Ranch"
NA,816,27,0.15,"Other","No AC",3,"1:0","Other"
153030,5173,28,0.18,"RS2","No AC",8,"3:0","Other"
184670,2508,28,0.26,"RS2","No AC",3,"2:1","Colonial"
98680,3394,28,0.09,"RS1","No AC",5,"2:0","Colonial"
NA,1867,28,0.11,"RS2","No AC",4,"3:0","Other"
NA,1401,50,0.07,"RS3","No AC",2,"2:1","Colonial"
NA,4072,22,0.22,"RS3","AC",6,"3:0","Colonial"
51070,1167,22,0.08,"RS3","No AC",3,"1:0","Other"
97230,2138,28,0.04,"RM2","No AC",3,"3:0","Colonial"
90690,1658,23,0.66,"RS3","No AC",3,"1:1","Other"
100590,1908,18,0.16,"RM2","AC",2,"1:1","Other"
93070,3218,28,0.08,"RS3","No AC",6,"2:0","Ranch"
NA,1300,23,0.3,"RS1","No AC",3,"1:1","Ranch"
86780,1657,22,0.14,"RS1","No AC",4,"1:0","Colonial"
NA,3073,28,0.11,"RM2","No AC",4,"1:0","Other"
NA,3367,28,0.18,"RS2","No AC",6,"3:1","Other"
NA,2185,22,0.13,"RS2","No AC",8,"3:0","Ranch"
NA,1214,28,0.22,"RM2","No AC",3,"1:0","Colonial"
81170,880,18,0.15,"RS3","No AC",2,"2:0","Colonial"
192060,2831,17,0.26,"RS1","No AC",4,"2:0","Colonial"
85360,3305,28,0.15,"Other","No AC",7,"3:0","Other"
75330,2349,28,0.12,"RS2","No AC",4,"2:0","Colonial"
NA,5484,28,0.19,"RS2","No AC",4,"4:0","Other"
88490,2436,28,0.14,"RS2","No AC",4,"2:0","Colonial"
NA,1168,28,0.14,"RM1","No AC",3,"1:0","Other"
NA,1716,22,0.14,"RS2","No AC",4,"2:0","Modern"
77250,1224,21,0.17,"RM1","No AC",4,"2:0","Other"
75780,2496,22,0.11,"RS3","No AC",7,"3:0","Other"
NA,1904,22,0.18,"RM2","No AC",4,"2:1","Other"
NA,3311,28,0.09,"RS2","No AC",6,"3:0","Modern"
NA,2784,28,0.16,"RS2","No AC",4,"2:0","Colonial"
88000,1588,22,0.2,"RS2","AC",3,"1:1","Modern"
NA,3891,28,0.13,"RS2","No AC",5,"3:0","Other"
108990,1562,20,0.32,"RM3","No AC",3,"1:0","Colonial"
95910,2634,22,0.13,"RS2","No AC",5,"3:0","Modern"
54990,1176,38,0.24,"RS3","No AC",3,"2:0","Colonial"
NA,1247,23,0.24,"RM3","No AC",2,"1:0","Other"
NA,3456,28,0.08,"RS1","No AC",2,"2:0","Ranch"
85960,1389,16,0.14,"RM3","No AC",3,"1:1","Other"
89740,1408,18,0.25,"RM2","No AC",3,"1:1","Other"
NA,1788,22,0.12,"Other","No AC",4,"2:0","Colonial"
NA,995,28,0.08,"RS2","No AC",2,"1:1","Colonial"
NA,1793,28,0.16,"RM3","No AC",3,"1:1","Colonial"
NA,3008,28,0.1,"RM3","No AC",4,"3:0","Modern"
100900,1600,12,0.42,"Other","No AC",3,"1:1","Other"
NA,4384,28,0.1,"RS3","No AC",8,"4:0","Colonial"
123860,1828,22,0.19,"Other","No AC",4,"1:1","Other"
NA,3742,28,0.15,"RS3","No AC",6,"3:0","Modern"
NA,1152,38,0.22,"RM2","No AC",3,"1:0","Modern"
NA,1157,23,0.21,"RS2","No AC",2,"1:0","Colonial"
67070,2545,38,0.1,"RS2","No AC",3,"2:0","Modern"
NA,1791,20,0.31,"RS2","No AC",2,"2:0","Other"
78580,1918,28,0.16,"RS3","No AC",4,"3:0","Other"
257640,4068,28,0.26,"RS3","No AC",5,"3:1","Other"
95970,1889,23,0.13,"RM2","No AC",3,"1:1","Ranch"
77820,2492,33,0.12,"RS1","No AC",8,"3:0","Other"
79350,960,22,0.12,"RS3","No AC",3,"2:0","Other"
NA,3011,28,0.18,"Other","No AC",3,"3:0","Other"
NA,3834,28,0.16,"RM2","No AC",8,"4:0","Colonial"
83090,3416,28,0.08,"RM2","No AC",6,"3:0","Other"
NA,3895,17,0.43,"RS2","No AC",5,"3:1","Other"
104240,1888,28,0.07,"RS2","No AC",4,"2:0","Colonial"
NA,4690,22,0.49,"RS1","No AC",5,"3:1","Colonial"
150270,3328,28,0.18,"RS1","No AC",8,"3:1","Ranch"
99050,3753,38,0.12,"RM3","No AC",4,"2:0","Other"
NA,1299,23,0.22,"RS1","No AC",3,"1:0","Other"
NA,2632,28,0.14,"RS1","No AC",8,"3:0","Other"
206680,3145,17,0.07,"RS3","No AC",5,"3:0","Other"
56640,807,27,0.16,"RS2","AC",2,"1:0","Other"
71760,2739,28,0.11,"RS2","No AC",5,"3:0","Other"
131440,1696,28,0.21,"RS1","No AC",3,"1:1","Other"
NA,1275,23,0.21,"RS1","No AC",2,"1:0","Colonial"
116550,2810,28,0.06,"RM2","No AC",8,"3:0","Colonial"
NA,2883,28,0.11,"RS3","No AC",5,"3:0","Other"
70180,1854,22,0.06,"RS3","No AC",4,"2:0","Other"
70920,2666,28,0.09,"RS2","No AC",5,"3:0","Other"
NA,4225,28,0.17,"RM3","No AC",6,"4:0","Colonial"
59820,1920,22,0.15,"RM1","No AC",4,"2:0","Colonial"
NA,1728,27,0.16,"RS1","No AC",4,"2:0","Colonial"
NA,1552,28,0.08,"RS3","No AC",3,"2:0","Modern"
65110,1877,28,0.15,"RS2","No AC",6,"3:0","Modern"
NA,1803,19,0.28,"RS1","AC",3,"2:0","Colonial"
NA,3309,28,0.11,"Other","No AC",8,"4:0","Modern"
NA,1290,22,0.21,"Other","No AC",3,"1:1","Colonial"
50750,1840,38,0.06,"RM2","No AC",5,"2:1","Colonial"
44460,1222,38,0.09,"RS2","No AC",2,"1:1","Other"
NA,1866,17,0.06,"RS2","No AC",4,"2:0","Other"
NA,1863,28,0.1,"RS2","No AC",2,"2:0","Colonial"
46800,3744,75,0.18,"RM1","No AC",6,"3:0","Other"
66470,1254,14,0.1,"RS3","No AC",3,"1:1","Other"
81950,1609,28,0.16,"RS1","No AC",3,"2:0","Ranch"
78550,2167,28,0.21,"RS2","No AC",2,"2:0","Other"
72210,2180,28,0.08,"RM1","No AC",4,"2:0","Colonial"
NA,4204,28,0.18,"RM3","No AC",6,"3:0","Other"
NA,1615,22,0.11,"RM2","No AC",4,"2:1","Ranch"
97580,1729,22,0.14,"RM2","No AC",3,"1:1","Other"
NA,2296,33,0.15,"RS2","No AC",4,"2:0","Colonial"
NA,4132,28,0.17,"RM2","No AC",6,"3:0","Colonial"
NA,2924,28,0.19,"RM2","No AC",5,"2:0","Colonial"
NA,1854,22,0.1,"RM1","No AC",3,"2:0","Colonial"
208250,4288,22,0.17,"RM3","No AC",8,"3:0","Other"
NA,1316,28,0.06,"RS1","No AC",3,"2:0","Modern"
NA,2680,28,0.12,"RM2","No AC",6,"3:0","Ranch"
45820,770,28,0.1,"RS3","No AC",2,"1:1","Other"
NA,1760,28,0.13,"RS2","No AC",5,"3:0","Other"
NA,1876,22,0.13,"RS1","No AC",6,"2:0","Other"
81310,2058,21,0.18,"RM1","No AC",4,"2:0","Other"
45440,816,27,0.15,"RS2","No AC",3,"1:0","Other"
120240,2062,24,0.28,"RS1","AC",3,"2:0","Other"
41940,1120,50,0.05,"RS2","No AC",3,"1:0","Modern"
95770,1380,23,0.21,"RS2","No AC",2,"1:1","Other"
NA,2112,28,0.1,"RS1","No AC",3,"2:0","Ranch"
NA,2272,28,0.09,"RS3","No AC",4,"2:0","Other"
NA,2279,28,0.08,"RS1","No AC",7,"4:0","Colonial"
NA,1008,22,0.13,"RS3","No AC",2,"1:0","Ranch"
119710,3846,22,0.16,"RS2","No AC",6,"3:0","Colonial"
NA,1656,21,0.21,"RM3","No AC",3,"2:0","Colonial"
NA,1633,19,0.21,"RM2","AC",3,"1:1","Other"
NA,1392,28,0.07,"RM3","No AC",3,"2:0","Other"
NA,1944,28,0.06,"RM2","No AC",4,"3:0","Colonial"
112320,3316,28,0.16,"RS3","No AC",6,"2:1","Colonial"
NA,1200,28,0.11,"RM2","No AC",2,"1:1","Colonial"
52610,1080,26,0.14,"RM1","No AC",4,"1:0","Other"
67690,1618,38,0.06,"RM2","No AC",4,"2:0","Other"
NA,2645,28,0.13,"RM1","No AC",7,"3:0","Other"
116310,2007,20,0.18,"RS3","No AC",2,"2:0","Other"
98770,1621,22,0.27,"RM3","No AC",3,"1:1","Colonial"
NA,3715,28,0.14,"Other","No AC",5,"3:0","Other"
92200,2017,22,0.35,"RS2","No AC",4,"2:0","Ranch"
NA,2519,28,0.11,"RS2","No AC",5,"3:0","Other"
90690,1380,22,0.11,"RM1","No AC",2,"1:1","Other"
66360,2328,28,0.08,"RM2","No AC",3,"2:0","Ranch"
NA,3504,28,0.12,"RM1","No AC",6,"3:0","Other"
63880,1725,28,0.06,"RM1","No AC",6,"3:0","Other"
106520,1344,17,0.22,"RS1","No AC",3,"1:1","Colonial"
NA,2682,28,0.11,"RM2","No AC",6,"3:0","Other"
97550,1372,21,0.21,"RS3","No AC",3,"1:1","Colonial"
65250,1561,22,0.09,"RS2","No AC",4,"1:0","Ranch"
NA,1728,27,0.11,"RS3","No AC",4,"2:0","Other"
NA,968,26,0.14,"RM3","No AC",2,"1:0","Colonial"
91490,3034,17,0.17,"RM2","No AC",6,"3:0","Colonial"
100910,3532,22,0.07,"RS3","No AC",5,"3:0","Ranch"
114080,2076,20,0.2,"RS1","AC",3,"1:1","Colonial"
NA,1664,28,0.14,"RM3","No AC",4,"2:0","Other"
79010,888,19,0.27,"RS1","No AC",3,"1:1","Modern"
NA,1282,22,0.05,"RS1","No AC",4,"1:0","Ranch"
NA,1630,28,0.12,"RS3","No AC",4,"2:0","Other"
86250,960,19,0.27,"RS2","No AC",3,"1:0","Other"
50970,2421,50,0.08,"RS2","No AC",4,"2:0","Other"
NA,988,27,0.3,"RS1","AC",3,"2:0","Other"
106230,1958,28,0.24,"RS3","No AC",3,"2:0","Other"
NA,1861,28,0.17,"RM3","No AC",5,"3:0","Other"
NA,3036,22,0.07,"RS2","No AC",4,"2:1","Colonial"
82180,1428,28,0.34,"RM2","No AC",3,"1:1","Other"
NA,1224,28,0.1,"Other","AC",3,"1:1","Colonial"
104800,2057,28,0.16,"RS2","No AC",4,"2:0","Colonial"
NA,2932,22,0.22,"RS2","No AC",4,"2:1","Colonial"
82010,2198,22,0.19,"RM1","No AC",5,"2:0","Ranch"
86670,2532,22,0.07,"RS2","No AC",7,"3:0","Other"
106300,2275,18,0.11,"RS3","No AC",6,"2:0","Modern"
NA,1152,28,0.16,"RS3","No AC",2,"1:0","Other"
65310,1152,22,0.11,"RM2","No AC",2,"1:1","Modern"
310810,3208,5,0.32,"RS2","AC",3,"3:1","Other"
43470,1398,22,0.06,"RM3","No AC",2,"2:0","Modern"
94480,2112,17,0.19,"RS1","No AC",4,"2:1","Other"
306120,3341,28,0.22,"RS2","No AC",7,"4:0","Ranch"
NA,3197,28,0.09,"RS2","No AC",6,"2:0","Ranch"
88760,1278,20,0.24,"RM2","No AC",3,"1:1","Colonial"
121310,2208,13,0.12,"RM2","No AC",4,"2:1","Colonial"
80080,3215,28,0.1,"RM2","No AC",6,"3:0","Other"
NA,5001,50,0.17,"RS2","No AC",8,"4:0","Other"
61810,1522,22,0.04,"RM2","No AC",3,"1:1","Colonial"
108470,1516,28,0.15,"RS3","No AC",3,"1:1","Other"
128340,2705,22,0.13,"Other","No AC",4,"2:0","Other"
NA,1924,28,0.13,"RS1","No AC",4,"2:0","Other"
51140,979,27,0.18,"RM1","No AC",2,"2:0","Colonial"
NA,3638,23,0.63,"RS2","AC",3,"2:1","Other"
NA,1435,22,0.21,"RS2","No AC",3,"1:0","Ranch"
84170,3110,22,0.17,"Other","No AC",6,"3:0","Other"
NA,1391,27,0.15,"RS1","AC",3,"2:0","Colonial"
NA,2580,22,0.19,"RS3","No AC",4,"4:0","Ranch"
NA,4320,22,0.13,"RS3","No AC",8,"4:0","Other"
71310,2168,28,0.09,"RS1","No AC",4,"2:0","Colonial"
94400,3731,28,0.28,"RS3","No AC",6,"3:0","Colonial"
103780,1911,27,0.17,"RM1","No AC",3,"1:1","Other"
139560,4862,28,0.2,"RS1","No AC",8,"3:0","Other"
NA,1528,19,0.28,"RM2","No AC",2,"1:0","Modern"
53550,1280,28,0.08,"RM2","No AC",3,"1:0","Other"
NA,3391,28,0.16,"RS1","No AC",6,"3:0","Ranch"
NA,768,28,0.12,"RS1","No AC",2,"1:0","Colonial"
75260,1300,24,0.19,"RS2","No AC",3,"1:0","Other"
94080,2370,22,0.12,"RM2","No AC",4,"1:0","Other"
NA,1260,22,0.09,"RM3","No AC",3,"1:0","Modern"
NA,4808,22,0.17,"RS2","No AC",7,"3:0","Modern"
NA,3867,22,0.32,"RM2","No AC",4,"3:0","Modern"
NA,2263,22,0.08,"RS1","No AC",4,"2:0","Other"
NA,2082,22,0.16,"RS2","No AC",4,"2:1","Other"
60520,2112,28,0.21,"RM1","No AC",6,"2:0","Other"
NA,3057,38,0.09,"RM3","No AC",6,"4:0","Modern"
120150,2106,23,0.29,"Other","AC",3,"1:1","Other"
NA,2550,17,0.03,"RM2","No AC",4,"3:0","Other"
NA,1200,50,0.38,"RS2","No AC",3,"1:0","Other"
93000,3332,22,0.17,"RM1","No AC",6,"4:0","Colonial"
56840,1118,28,0.13,"RM2","No AC",3,"1:0","Modern"
86170,2317,28,0.25,"RM2","No AC",5,"2:0","Colonial"
NA,4082,22,0.14,"RS2","No AC",6,"3:0","Colonial"
107210,3498,28,0.13,"RS3","No AC",4,"3:0","Other"
NA,1130,38,0.14,"RM3","No AC",2,"1:0","Other"
79480,1615,27,0.26,"Other","No AC",2,"1:0","Colonial"
90520,3353,28,0.11,"RS2","No AC",6,"3:0","Colonial"
60300,2484,22,0.13,"Other","No AC",6,"3:0","Colonial"
91750,1424,18,0.16,"RS1","No AC",3,"1:0","Ranch"
163590,5360,28,0.18,"RM2","No AC",6,"2:0","Ranch"
NA,1109,28,0.07,"RM1","No AC",2,"1:0","Colonial"
NA,1072,26,0.14,"RS2","No AC",3,"1:0","Modern"
NA,2125,28,0.14,"Other","No AC",4,"2:0","Colonial"
NA,1210,38,0.13,"RS1","No AC",3,"1:1","Other"
NA,1728,28,0.13,"RS2","No AC",3,"1:1","Other"
NA,2171,28,0.1,"RS2","No AC",4,"3:0","Other"
75400,1296,28,0.14,"RS2","No AC",3,"1:1","Other"
NA,1048,18,0.14,"RM3","No AC",3,"2:0","Other"
NA,1893,22,0.41,"RM2","AC",3,"2:0","Other"
NA,960,17,0.38,"RS2","No AC",2,"2:0","Ranch"
82950,960,19,0.6,"RM2","AC",3,"1:0","Colonial"
NA,3305,28,0.1,"RM2","No AC",6,"3:0","Other"
NA,2397,10,0.12,"RS1","AC",3,"2:1","Modern"
NA,1594,22,0.18,"RM1","No AC",3,"1:1","Colonial"
NA,1148,17,0.28,"RS1","No AC",3,"1:0","Other"
92890,1536,20,0.16,"RM2","AC",3,"1:1","Colonial"
NA,1356,28,0.19,"RS2","No AC",3,"2:0","Other"
104860,3608,28,0.17,"RM2","No AC",4,"3:1","Other"
139090,4587,11,0.15,"RM2","AC",8,"6:0","Other"
NA,3010,28,0.08,"RS2","No AC",8,"3:0","Other"
NA,1100,22,0.14,"RS2","No AC",2,"1:0","Other"
NA,1152,18,0.18,"RS2","No AC",4,"1:0","Modern"
92760,1239,19,0.23,"RS2","No AC",2,"1:1","Colonial"
96890,1122,23,0.24,"RS2","No AC",3,"1:0","Colonial"
NA,1840,22,0.1,"RM3","No AC",6,"2:0","Other"
70810,1080,35,0.13,"RM1","AC",2,"1:0","Other"
85970,2764,28,0.15,"RS2","No AC",4,"2:0","Other"
NA,3454,28,0.13,"RS1","No AC",5,"3:0","Other"
85640,3105,28,0.2,"Other","No AC",5,"3:0","Other"
NA,2611,28,0.11,"RM3","No AC",7,"2:0","Colonial"
69730,2185,28,0.08,"RS2","No AC",4,"2:0","Other"
76370,1150,22,0.14,"RM2","No AC",3,"1:0","Ranch"
NA,1056,19,0.11,"Other","AC",2,"1:0","Other"
56560,1692,28,0.12,"RM2","No AC",3,"1:0","Other"
87190,3256,28,0.14,"RM1","No AC",6,"3:0","Ranch"
NA,3504,28,0.1,"RS3","No AC",6,"3:0","Ranch"
83450,1224,24,0.14,"RS2","No AC",2,"1:1","Colonial"
64550,1206,28,0.06,"RS2","No AC",4,"2:0","Other"
106480,3580,28,0.13,"RS2","No AC",5,"3:0","Other"
93430,1176,27,0.16,"RS1","No AC",2,"1:0","Colonial"
NA,2369,28,0.16,"RM1","No AC",4,"2:1","Colonial"
NA,4000,22,0.11,"RS3","No AC",2,"2:0","Colonial"
NA,1328,20,0.2,"RS2","No AC",3,"1:0","Ranch"
NA,3694,28,0.21,"RS2","No AC",6,"3:0","Colonial"
NA,2838,28,0.18,"RM2","No AC",4,"2:0","Colonial"
100150,1548,27,0.15,"RS1","No AC",3,"1:1","Modern"
NA,1573,20,0.13,"RM3","AC",3,"1:0","Other"
NA,1160,20,0.16,"RS1","No AC",3,"1:0","Colonial"
NA,2710,28,0.25,"RS2","AC",3,"3:1","Colonial"
87860,1224,19,0.13,"RS2","AC",3,"1:0","Colonial"
76800,928,20,0.11,"RS2","No AC",2,"1:1","Other"
NA,2428,22,0.1,"RS2","No AC",4,"2:0","Ranch"
89530,1577,15,0.17,"RM2","AC",1,"2:0","Other"
NA,3579,22,0.5,"RS3","No AC",5,"2:1","Colonial"
108860,3488,22,0.17,"RS2","No AC",6,"3:0","Colonial"
NA,4231,28,0.17,"RS3","No AC",6,"3:0","Other"
58350,1520,28,0.17,"RM1","No AC",2,"2:0","Other"
NA,2517,22,0.16,"RS1","No AC",6,"3:0","Modern"
60200,2048,28,0.1,"RM3","No AC",4,"2:0","Colonial"
NA,1032,23,0.18,"RS2","AC",3,"1:0","Colonial"
77170,1358,19,0.22,"Other","No AC",3,"1:0","Colonial"
76280,2520,22,0.17,"RS1","No AC",6,"3:0","Other"
143060,2566,28,0.18,"RS1","No AC",3,"2:1","Other"
77820,2584,30,0.09,"RS1","No AC",6,"3:0","Other"
104140,1425,17,0.1,"RS1","No AC",3,"1:0","Colonial"
NA,672,24,0.13,"RS2","AC",2,"1:0","Modern"
NA,1508,28,0.34,"RS3","No AC",3,"2:0","Other"
NA,2153,28,0.23,"RS3","No AC",4,"1:1","Other"
52880,2687,38,0.09,"Other","No AC",5,"4:0","Other"
NA,3828,28,0.15,"RS2","No AC",4,"4:0","Other"
80200,2788,17,0.08,"RS1","No AC",6,"3:0","Colonial"
104620,1960,28,0.15,"RS3","No AC",3,"2:1","Colonial"
83650,2298,28,0.23,"RM2","No AC",4,"2:0","Other"
72990,1258,28,0.13,"RS1","No AC",3,"1:1","Colonial"
NA,3208,38,0.12,"RS2","No AC",6,"3:0","Modern"
NA,2082,22,0.3,"RS3","No AC",3,"1:1","Other"
NA,1548,28,0.09,"RS1","No AC",3,"1:0","Other"
93920,2552,28,0.17,"RS1","No AC",5,"2:0","Other"
NA,1587,28,0.17,"Other","No AC",3,"2:0","Other"
NA,2475,19,0.27,"Other","AC",2,"2:1","Colonial"
NA,2677,19,0.34,"RS1","No AC",3,"3:1","Colonial"
NA,2754,50,0.12,"RS2","No AC",6,"3:0","Other"
69000,888,23,0.19,"RS1","AC",2,"1:0","Other"
96910,1795,22,0.13,"Other","No AC",3,"1:0","Ranch"
NA,3594,28,0.1,"Other","AC",6,"3:0","Colonial"
56570,1728,27,0.16,"RS2","No AC",4,"2:0","Other"
NA,2304,22,0.36,"RS2","No AC",4,"1:1","Modern"
NA,4466,28,0.13,"RS3","No AC",8,"4:0","Other"
NA,2618,22,0.08,"RS3","No AC",6,"3:0","Modern"
83770,2208,28,0.29,"RS1","No AC",4,"4:0","Colonial"
NA,3288,22,0.1,"RS3","No AC",6,"3:0","Modern"
136340,1906,23,0.28,"RS1","AC",3,"2:0","Colonial"
NA,2256,22,0.09,"RM2","No AC",4,"2:0","Other"
NA,2254,22,0.16,"Other","No AC",4,"1:1","Other"
70950,3408,28,0.09,"RM1","No AC",6,"3:0","Other"
NA,1144,22,0.29,"RS2","No AC",3,"1:1","Other"
NA,1623,22,0.19,"RS3","No AC",4,"1:1","Other"
NA,2470,22,0.12,"RM1","No AC",4,"2:0","Ranch"
100140,4300,28,0.12,"RM1","No AC",8,"4:0","Colonial"
NA,2128,28,0.08,"RM2","No AC",4,"2:0","Colonial"
NA,3464,28,0.43,"RS2","No AC",6,"2:0","Colonial"
103180,1470,27,0.14,"RM2","No AC",3,"1:1","Other"
176130,2595,22,0.27,"RS2","No AC",5,"2:0","Other"
NA,5839,28,0.3,"RS2","No AC",5,"3:0","Colonial"
85440,936,23,0.18,"RS3","AC",3,"1:0","Other"
72070,3240,38,0.12,"RM1","No AC",4,"2:0","Other"
119280,1622,23,0.41,"RM2","No AC",3,"2:0","Other"
89370,3375,22,0.18,"RS1","No AC",6,"3:0","Modern"
NA,1538,26,0.23,"RM1","AC",4,"2:0","Colonial"
110080,1876,16,0.18,"RM1","AC",3,"2:0","Modern"
NA,2782,38,0.13,"RM3","No AC",5,"3:0","Other"
NA,2647,28,0.07,"RS3","No AC",4,"4:0","Ranch"
193590,2877,22,0.18,"RM1","No AC",5,"2:1","Modern"
NA,1612,22,0.09,"RM1","No AC",2,"2:0","Colonial"
110650,1603,28,0.11,"RS1","No AC",4,"1:1","Modern"
63050,2264,28,0.08,"RS1","No AC",5,"3:0","Other"
NA,748,22,0.18,"RS3","No AC",2,"1:0","Other"
